"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Heroin"	"T40.1"	"1999"	"1999"	"New Jersey"	"34"	"Female"	"F"	"Black or African American"	"2054-5"	14	649064	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"New Jersey"	"34"	"Female"	"F"	"White"	"2106-3"	32	3391812	0.9
	"Heroin"	"T40.1"	"1999"	"1999"	"New Jersey"	"34"	"Male"	"M"	"Black or African American"	"2054-5"	31	582178	5.3
	"Heroin"	"T40.1"	"1999"	"1999"	"New Jersey"	"34"	"Male"	"M"	"White"	"2106-3"	133	3217379	4.1
	"Heroin"	"T40.1"	"1999"	"1999"	"New Mexico"	"35"	"Male"	"M"	"White"	"2106-3"	21	769836	2.7
	"Heroin"	"T40.1"	"1999"	"1999"	"New York"	"36"	"Male"	"M"	"White"	"2106-3"	35	6917065	0.5
	"Heroin"	"T40.1"	"1999"	"1999"	"North Carolina"	"37"	"Male"	"M"	"Black or African American"	"2054-5"	10	826729	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"North Carolina"	"37"	"Male"	"M"	"White"	"2106-3"	27	2952586	0.9
	"Heroin"	"T40.1"	"1999"	"1999"	"Ohio"	"39"	"Male"	"M"	"Black or African American"	"2054-5"	11	638003	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Ohio"	"39"	"Male"	"M"	"White"	"2106-3"	37	4779030	0.8
	"Heroin"	"T40.1"	"1999"	"1999"	"Oregon"	"41"	"Female"	"F"	"White"	"2106-3"	17	1591411	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Oregon"	"41"	"Male"	"M"	"White"	"2106-3"	108	1562845	6.9
	"Heroin"	"T40.1"	"1999"	"1999"	"Pennsylvania"	"42"	"Female"	"F"	"White"	"2106-3"	43	5544312	0.8
	"Heroin"	"T40.1"	"1999"	"1999"	"Pennsylvania"	"42"	"Male"	"M"	"Black or African American"	"2054-5"	19	603144	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Pennsylvania"	"42"	"Male"	"M"	"White"	"2106-3"	118	5190271	2.3
	"Heroin"	"T40.1"	"1999"	"1999"	"Texas"	"48"	"Female"	"F"	"White"	"2106-3"	12	8716280	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Texas"	"48"	"Male"	"M"	"Black or African American"	"2054-5"	13	1187505	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Texas"	"48"	"Male"	"M"	"White"	"2106-3"	81	8642333	0.9
	"Heroin"	"T40.1"	"1999"	"1999"	"Utah"	"49"	"Male"	"M"	"White"	"2106-3"	47	1046887	4.5
	"Heroin"	"T40.1"	"1999"	"1999"	"Virginia"	"51"	"Male"	"M"	"Black or African American"	"2054-5"	23	680199	3.4
	"Heroin"	"T40.1"	"1999"	"1999"	"Virginia"	"51"	"Male"	"M"	"White"	"2106-3"	32	2607592	1.2
	"Heroin"	"T40.1"	"1999"	"1999"	"Washington"	"53"	"Female"	"F"	"White"	"2106-3"	12	2578841	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Washington"	"53"	"Male"	"M"	"White"	"2106-3"	46	2559766	1.8
	"Heroin"	"T40.1"	"2000"	"2000"	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	14	2274325	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"California"	"06"	"Female"	"F"	"White"	"2106-3"	42	13341153	0.3
	"Heroin"	"T40.1"	"2000"	"2000"	"California"	"06"	"Male"	"M"	"Black or African American"	"2054-5"	34	1234115	2.8
	"Heroin"	"T40.1"	"2000"	"2000"	"California"	"06"	"Male"	"M"	"White"	"2106-3"	248	13407838	1.8
	"Heroin"	"T40.1"	"2000"	"2000"	"Colorado"	"08"	"Male"	"M"	"White"	"2106-3"	29	1984788	1.5
	"Heroin"	"T40.1"	"2000"	"2000"	"Connecticut"	"09"	"Female"	"F"	"White"	"2106-3"	14	1521261	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Connecticut"	"09"	"Male"	"M"	"Black or African American"	"2054-5"	12	165467	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Connecticut"	"09"	"Male"	"M"	"White"	"2106-3"	84	1431983	5.9
	"Heroin"	"T40.1"	"2000"	"2000"	"Florida"	"12"	"Female"	"F"	"White"	"2106-3"	24	6705029	0.4
	"Heroin"	"T40.1"	"2000"	"2000"	"Florida"	"12"	"Male"	"M"	"Black or African American"	"2054-5"	14	1187565	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Florida"	"12"	"Male"	"M"	"White"	"2106-3"	131	6427061	2.0
	"Heroin"	"T40.1"	"2000"	"2000"	"Illinois"	"17"	"Male"	"M"	"White"	"2106-3"	27	4924771	0.5
	"Heroin"	"T40.1"	"2000"	"2000"	"Michigan"	"26"	"Male"	"M"	"Black or African American"	"2054-5"	29	693627	4.2
	"Heroin"	"T40.1"	"2000"	"2000"	"Michigan"	"26"	"Male"	"M"	"White"	"2106-3"	56	4044989	1.4
	"Heroin"	"T40.1"	"2000"	"2000"	"Missouri"	"29"	"Male"	"M"	"Black or African American"	"2054-5"	11	304698	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Missouri"	"29"	"Male"	"M"	"White"	"2106-3"	29	2364754	1.2
	"Heroin"	"T40.1"	"2000"	"2000"	"Nevada"	"32"	"Male"	"M"	"White"	"2106-3"	31	874689	3.5
	"Heroin"	"T40.1"	"2000"	"2000"	"New Jersey"	"34"	"Female"	"F"	"White"	"2106-3"	24	3403279	0.7
	"Heroin"	"T40.1"	"2000"	"2000"	"New Jersey"	"34"	"Male"	"M"	"Black or African American"	"2054-5"	42	586760	7.2
	"Heroin"	"T40.1"	"2000"	"2000"	"New Jersey"	"34"	"Male"	"M"	"White"	"2106-3"	137	3226551	4.2
	"Heroin"	"T40.1"	"2000"	"2000"	"New Mexico"	"35"	"Male"	"M"	"White"	"2106-3"	34	770522	4.4
	"Heroin"	"T40.1"	"2000"	"2000"	"New York"	"36"	"Male"	"M"	"White"	"2106-3"	17	6927047	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"North Carolina"	"37"	"Male"	"M"	"Black or African American"	"2054-5"	11	835517	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"North Carolina"	"37"	"Male"	"M"	"White"	"2106-3"	24	2991085	0.8
	"Heroin"	"T40.1"	"2000"	"2000"	"Ohio"	"39"	"Female"	"F"	"White"	"2106-3"	10	5033343	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Ohio"	"39"	"Male"	"M"	"Black or African American"	"2054-5"	16	644596	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Ohio"	"39"	"Male"	"M"	"White"	"2106-3"	48	4779059	1.0
	"Heroin"	"T40.1"	"2000"	"2000"	"Oregon"	"41"	"Female"	"F"	"White"	"2106-3"	16	1599611	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Oregon"	"41"	"Male"	"M"	"White"	"2106-3"	70	1572749	4.5
	"Heroin"	"T40.1"	"2000"	"2000"	"Pennsylvania"	"42"	"Female"	"F"	"White"	"2106-3"	16	5535547	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Pennsylvania"	"42"	"Male"	"M"	"Black or African American"	"2054-5"	16	610815	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Pennsylvania"	"42"	"Male"	"M"	"White"	"2106-3"	112	5189900	2.2
	"Heroin"	"T40.1"	"2000"	"2000"	"Texas"	"48"	"Female"	"F"	"White"	"2106-3"	19	8815254	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Texas"	"48"	"Male"	"M"	"Black or African American"	"2054-5"	11	1201820	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Texas"	"48"	"Male"	"M"	"White"	"2106-3"	93	8760224	1.1
	"Heroin"	"T40.1"	"2000"	"2000"	"Utah"	"49"	"Male"	"M"	"White"	"2106-3"	41	1060121	3.9
	"Heroin"	"T40.1"	"2000"	"2000"	"Virginia"	"51"	"Male"	"M"	"Black or African American"	"2054-5"	25	688311	3.6
	"Heroin"	"T40.1"	"2000"	"2000"	"Virginia"	"51"	"Male"	"M"	"White"	"2106-3"	31	2631465	1.2
	"Heroin"	"T40.1"	"2000"	"2000"	"Washington"	"53"	"Female"	"F"	"White"	"2106-3"	13	2591963	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Washington"	"53"	"Male"	"M"	"White"	"2106-3"	41	2574875	1.6
	"Heroin"	"T40.1"	"2000"	"2000"	"Wisconsin"	"55"	"Male"	"M"	"White"	"2106-3"	17	2418249	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	19	2331036	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"California"	"06"	"Female"	"F"	"White"	"2106-3"	28	13505365	0.2
	"Heroin"	"T40.1"	"2001"	"2001"	"California"	"06"	"Male"	"M"	"Black or African American"	"2054-5"	19	1251049	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"California"	"06"	"Male"	"M"	"White"	"2106-3"	169	13592819	1.2
	"Heroin"	"T40.1"	"2001"	"2001"	"Colorado"	"08"	"Male"	"M"	"White"	"2106-3"	16	2038752	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Connecticut"	"09"	"Female"	"F"	"White"	"2106-3"	17	1526178	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Connecticut"	"09"	"Male"	"M"	"White"	"2106-3"	69	1439050	4.8
	"Heroin"	"T40.1"	"2001"	"2001"	"Florida"	"12"	"Female"	"F"	"White"	"2106-3"	38	6833739	0.6
	"Heroin"	"T40.1"	"2001"	"2001"	"Florida"	"12"	"Male"	"M"	"Black or African American"	"2054-5"	15	1228606	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Florida"	"12"	"Male"	"M"	"White"	"2106-3"	147	6559116	2.2
	"Heroin"	"T40.1"	"2001"	"2001"	"Illinois"	"17"	"Male"	"M"	"White"	"2106-3"	27	4945920	0.5
	"Heroin"	"T40.1"	"2001"	"2001"	"Massachusetts"	"25"	"Male"	"M"	"White"	"2106-3"	13	2724696	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Michigan"	"26"	"Female"	"F"	"White"	"2106-3"	13	4170366	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Michigan"	"26"	"Male"	"M"	"Black or African American"	"2054-5"	21	700925	3.0
	"Heroin"	"T40.1"	"2001"	"2001"	"Michigan"	"26"	"Male"	"M"	"White"	"2106-3"	45	4059807	1.1
	"Heroin"	"T40.1"	"2001"	"2001"	"Missouri"	"29"	"Male"	"M"	"White"	"2106-3"	14	2381086	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Nevada"	"32"	"Male"	"M"	"White"	"2106-3"	20	910795	2.2
	"Heroin"	"T40.1"	"2001"	"2001"	"New Jersey"	"34"	"Female"	"F"	"Black or African American"	"2054-5"	16	663623	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"New Jersey"	"34"	"Female"	"F"	"White"	"2106-3"	27	3412078	0.8
	"Heroin"	"T40.1"	"2001"	"2001"	"New Jersey"	"34"	"Male"	"M"	"Black or African American"	"2054-5"	39	593651	6.6
	"Heroin"	"T40.1"	"2001"	"2001"	"New Jersey"	"34"	"Male"	"M"	"White"	"2106-3"	117	3240039	3.6
	"Heroin"	"T40.1"	"2001"	"2001"	"New Mexico"	"35"	"Male"	"M"	"White"	"2106-3"	15	774363	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"New York"	"36"	"Male"	"M"	"White"	"2106-3"	50	6942969	0.7
	"Heroin"	"T40.1"	"2001"	"2001"	"North Carolina"	"37"	"Male"	"M"	"Black or African American"	"2054-5"	11	854256	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"North Carolina"	"37"	"Male"	"M"	"White"	"2106-3"	30	3043955	1.0
	"Heroin"	"T40.1"	"2001"	"2001"	"Ohio"	"39"	"Male"	"M"	"Black or African American"	"2054-5"	13	655743	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Ohio"	"39"	"Male"	"M"	"White"	"2106-3"	60	4785330	1.3
	"Heroin"	"T40.1"	"2001"	"2001"	"Oregon"	"41"	"Female"	"F"	"White"	"2106-3"	13	1616351	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Oregon"	"41"	"Male"	"M"	"White"	"2106-3"	60	1590441	3.8
	"Heroin"	"T40.1"	"2001"	"2001"	"Pennsylvania"	"42"	"Female"	"F"	"White"	"2106-3"	22	5520761	0.4
	"Heroin"	"T40.1"	"2001"	"2001"	"Pennsylvania"	"42"	"Male"	"M"	"Black or African American"	"2054-5"	16	620186	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Pennsylvania"	"42"	"Male"	"M"	"White"	"2106-3"	80	5186923	1.5
	"Heroin"	"T40.1"	"2001"	"2001"	"Texas"	"48"	"Female"	"F"	"White"	"2106-3"	17	8985946	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Texas"	"48"	"Male"	"M"	"Black or African American"	"2054-5"	15	1232556	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Texas"	"48"	"Male"	"M"	"White"	"2106-3"	146	8936085	1.6
	"Heroin"	"T40.1"	"2001"	"2001"	"Utah"	"49"	"Male"	"M"	"White"	"2106-3"	31	1082485	2.9
	"Heroin"	"T40.1"	"2001"	"2001"	"Virginia"	"51"	"Male"	"M"	"Black or African American"	"2054-5"	18	699900	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Virginia"	"51"	"Male"	"M"	"White"	"2106-3"	64	2668786	2.4
	"Heroin"	"T40.1"	"2001"	"2001"	"Washington"	"53"	"Male"	"M"	"White"	"2106-3"	41	2606904	1.6
	"Heroin"	"T40.1"	"2001"	"2001"	"Wisconsin"	"55"	"Male"	"M"	"White"	"2106-3"	16	2434152	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	21	2378350	0.9
	"Heroin"	"T40.1"	"2002"	"2002"	"California"	"06"	"Female"	"F"	"White"	"2106-3"	48	13611768	0.4
	"Heroin"	"T40.1"	"2002"	"2002"	"California"	"06"	"Male"	"M"	"Black or African American"	"2054-5"	37	1260806	2.9
	"Heroin"	"T40.1"	"2002"	"2002"	"California"	"06"	"Male"	"M"	"White"	"2106-3"	267	13697250	1.9
	"Heroin"	"T40.1"	"2002"	"2002"	"Colorado"	"08"	"Male"	"M"	"White"	"2106-3"	21	2064190	1.0
	"Heroin"	"T40.1"	"2002"	"2002"	"Connecticut"	"09"	"Female"	"F"	"White"	"2106-3"	15	1529990	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Connecticut"	"09"	"Male"	"M"	"White"	"2106-3"	68	1445949	4.7
	"Heroin"	"T40.1"	"2002"	"2002"	"Florida"	"12"	"Female"	"F"	"White"	"2106-3"	38	6948991	0.5
	"Heroin"	"T40.1"	"2002"	"2002"	"Florida"	"12"	"Male"	"M"	"Black or African American"	"2054-5"	15	1263764	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Florida"	"12"	"Male"	"M"	"White"	"2106-3"	154	6674585	2.3
	"Heroin"	"T40.1"	"2002"	"2002"	"Illinois"	"17"	"Male"	"M"	"Black or African American"	"2054-5"	16	911417	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Illinois"	"17"	"Male"	"M"	"White"	"2106-3"	29	4953956	0.6
	"Heroin"	"T40.1"	"2002"	"2002"	"Maryland"	"24"	"Male"	"M"	"Black or African American"	"2054-5"	12	742296	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Maryland"	"24"	"Male"	"M"	"White"	"2106-3"	11	1747605	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Massachusetts"	"25"	"Male"	"M"	"White"	"2106-3"	15	2724774	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Michigan"	"26"	"Male"	"M"	"Black or African American"	"2054-5"	19	703958	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Michigan"	"26"	"Male"	"M"	"White"	"2106-3"	40	4065028	1.0
	"Heroin"	"T40.1"	"2002"	"2002"	"Missouri"	"29"	"Male"	"M"	"Black or African American"	"2054-5"	13	315344	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Missouri"	"29"	"Male"	"M"	"White"	"2106-3"	30	2393176	1.3
	"Heroin"	"T40.1"	"2002"	"2002"	"Nevada"	"32"	"Male"	"M"	"White"	"2106-3"	33	935901	3.5
	"Heroin"	"T40.1"	"2002"	"2002"	"New Jersey"	"34"	"Female"	"F"	"Black or African American"	"2054-5"	11	670015	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"New Jersey"	"34"	"Female"	"F"	"White"	"2106-3"	32	3416825	0.9
	"Heroin"	"T40.1"	"2002"	"2002"	"New Jersey"	"34"	"Male"	"M"	"Black or African American"	"2054-5"	46	598808	7.7
	"Heroin"	"T40.1"	"2002"	"2002"	"New Jersey"	"34"	"Male"	"M"	"White"	"2106-3"	153	3250253	4.7
	"Heroin"	"T40.1"	"2002"	"2002"	"New Mexico"	"35"	"Male"	"M"	"White"	"2106-3"	21	783117	2.7
	"Heroin"	"T40.1"	"2002"	"2002"	"New York"	"36"	"Female"	"F"	"White"	"2106-3"	11	7330648	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"New York"	"36"	"Male"	"M"	"White"	"2106-3"	36	6945612	0.5
	"Heroin"	"T40.1"	"2002"	"2002"	"North Carolina"	"37"	"Male"	"M"	"White"	"2106-3"	33	3077106	1.1
	"Heroin"	"T40.1"	"2002"	"2002"	"Ohio"	"39"	"Female"	"F"	"White"	"2106-3"	25	5024745	0.5
	"Heroin"	"T40.1"	"2002"	"2002"	"Ohio"	"39"	"Male"	"M"	"Black or African American"	"2054-5"	24	664166	3.6
	"Heroin"	"T40.1"	"2002"	"2002"	"Ohio"	"39"	"Male"	"M"	"White"	"2106-3"	70	4787768	1.5
	"Heroin"	"T40.1"	"2002"	"2002"	"Oregon"	"41"	"Female"	"F"	"White"	"2106-3"	22	1634342	1.3
	"Heroin"	"T40.1"	"2002"	"2002"	"Oregon"	"41"	"Male"	"M"	"White"	"2106-3"	64	1607737	4.0
	"Heroin"	"T40.1"	"2002"	"2002"	"Pennsylvania"	"42"	"Female"	"F"	"White"	"2106-3"	28	5513563	0.5
	"Heroin"	"T40.1"	"2002"	"2002"	"Pennsylvania"	"42"	"Male"	"M"	"Black or African American"	"2054-5"	12	630125	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Pennsylvania"	"42"	"Male"	"M"	"White"	"2106-3"	98	5191718	1.9
	"Heroin"	"T40.1"	"2002"	"2002"	"Texas"	"48"	"Female"	"F"	"White"	"2106-3"	24	9118467	0.3
	"Heroin"	"T40.1"	"2002"	"2002"	"Texas"	"48"	"Male"	"M"	"Black or African American"	"2054-5"	14	1257563	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Texas"	"48"	"Male"	"M"	"White"	"2106-3"	137	9073792	1.5
	"Heroin"	"T40.1"	"2002"	"2002"	"Utah"	"49"	"Male"	"M"	"White"	"2106-3"	21	1101243	1.9
	"Heroin"	"T40.1"	"2002"	"2002"	"Virginia"	"51"	"Female"	"F"	"Black or African American"	"2054-5"	10	772796	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Virginia"	"51"	"Male"	"M"	"Black or African American"	"2054-5"	22	707849	3.1
	"Heroin"	"T40.1"	"2002"	"2002"	"Virginia"	"51"	"Male"	"M"	"White"	"2106-3"	54	2691236	2.0
	"Heroin"	"T40.1"	"2002"	"2002"	"Washington"	"53"	"Male"	"M"	"White"	"2106-3"	60	2625612	2.3
	"Heroin"	"T40.1"	"2002"	"2002"	"Wisconsin"	"55"	"Male"	"M"	"White"	"2106-3"	15	2447412	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	11	2434530	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	46	2419988	1.9
	"Heroin"	"T40.1"	"2003"	"2003"	"California"	"06"	"Female"	"F"	"White"	"2106-3"	44	13724880	0.3
	"Heroin"	"T40.1"	"2003"	"2003"	"California"	"06"	"Male"	"M"	"Black or African American"	"2054-5"	20	1268907	1.6
	"Heroin"	"T40.1"	"2003"	"2003"	"California"	"06"	"Male"	"M"	"White"	"2106-3"	284	13786662	2.1
	"Heroin"	"T40.1"	"2003"	"2003"	"Colorado"	"08"	"Male"	"M"	"White"	"2106-3"	22	2074461	1.1
	"Heroin"	"T40.1"	"2003"	"2003"	"Connecticut"	"09"	"Female"	"F"	"White"	"2106-3"	17	1534880	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Connecticut"	"09"	"Male"	"M"	"White"	"2106-3"	82	1451258	5.7
	"Heroin"	"T40.1"	"2003"	"2003"	"Florida"	"12"	"Female"	"F"	"White"	"2106-3"	31	7053660	0.4
	"Heroin"	"T40.1"	"2003"	"2003"	"Florida"	"12"	"Male"	"M"	"White"	"2106-3"	171	6784942	2.5
	"Heroin"	"T40.1"	"2003"	"2003"	"Illinois"	"17"	"Male"	"M"	"White"	"2106-3"	16	4959900	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Maryland"	"24"	"Male"	"M"	"Black or African American"	"2054-5"	11	755692	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Maryland"	"24"	"Male"	"M"	"White"	"2106-3"	13	1754736	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Massachusetts"	"25"	"Male"	"M"	"White"	"2106-3"	14	2717886	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Michigan"	"26"	"Female"	"F"	"White"	"2106-3"	10	4174828	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Michigan"	"26"	"Male"	"M"	"Black or African American"	"2054-5"	21	707149	3.0
	"Heroin"	"T40.1"	"2003"	"2003"	"Michigan"	"26"	"Male"	"M"	"White"	"2106-3"	43	4070964	1.1
	"Heroin"	"T40.1"	"2003"	"2003"	"Missouri"	"29"	"Male"	"M"	"Black or African American"	"2054-5"	14	319419	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Missouri"	"29"	"Male"	"M"	"White"	"2106-3"	23	2405412	1.0
	"Heroin"	"T40.1"	"2003"	"2003"	"Nevada"	"32"	"Male"	"M"	"White"	"2106-3"	19	961273	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"New Jersey"	"34"	"Female"	"F"	"Black or African American"	"2054-5"	18	676211	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"New Jersey"	"34"	"Female"	"F"	"White"	"2106-3"	19	3417868	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"New Jersey"	"34"	"Male"	"M"	"Black or African American"	"2054-5"	43	603390	7.1
	"Heroin"	"T40.1"	"2003"	"2003"	"New Jersey"	"34"	"Male"	"M"	"White"	"2106-3"	138	3256829	4.2
	"Heroin"	"T40.1"	"2003"	"2003"	"New Mexico"	"35"	"Male"	"M"	"White"	"2106-3"	21	791756	2.7
	"Heroin"	"T40.1"	"2003"	"2003"	"New York"	"36"	"Male"	"M"	"White"	"2106-3"	35	6945157	0.5
	"Heroin"	"T40.1"	"2003"	"2003"	"North Carolina"	"37"	"Female"	"F"	"White"	"2106-3"	10	3177557	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"North Carolina"	"37"	"Male"	"M"	"White"	"2106-3"	38	3094293	1.2
	"Heroin"	"T40.1"	"2003"	"2003"	"Ohio"	"39"	"Female"	"F"	"White"	"2106-3"	15	5021877	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Ohio"	"39"	"Male"	"M"	"Black or African American"	"2054-5"	15	672327	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Ohio"	"39"	"Male"	"M"	"White"	"2106-3"	59	4793087	1.2
	"Heroin"	"T40.1"	"2003"	"2003"	"Oregon"	"41"	"Female"	"F"	"White"	"2106-3"	13	1647454	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Oregon"	"41"	"Male"	"M"	"White"	"2106-3"	65	1619800	4.0
	"Heroin"	"T40.1"	"2003"	"2003"	"Pennsylvania"	"42"	"Female"	"F"	"White"	"2106-3"	37	5509410	0.7
	"Heroin"	"T40.1"	"2003"	"2003"	"Pennsylvania"	"42"	"Male"	"M"	"Black or African American"	"2054-5"	14	640674	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Pennsylvania"	"42"	"Male"	"M"	"White"	"2106-3"	113	5202407	2.2
	"Heroin"	"T40.1"	"2003"	"2003"	"Texas"	"48"	"Female"	"F"	"White"	"2106-3"	28	9250249	0.3
	"Heroin"	"T40.1"	"2003"	"2003"	"Texas"	"48"	"Male"	"M"	"Black or African American"	"2054-5"	12	1277360	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Texas"	"48"	"Male"	"M"	"White"	"2106-3"	144	9190691	1.6
