"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"45-54 years"	"45-54"	"Female"	"F"	239	8783290	2.7
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"45-54 years"	"45-54"	"Male"	"M"	402	8536398	4.7
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"55-64 years"	"55-64"	"Female"	"F"	200	7934980	2.5
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"55-64 years"	"55-64"	"Male"	"M"	208	7212357	2.9
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"65-74 years"	"65-74"	"Female"	"F"	48	6106793	0.8
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"65-74 years"	"65-74"	"Male"	"M"	40	5452399	0.7
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"75-84 years"	"75-84"	"Female"	"F"	13	3609240	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"15-24 years"	"15-24"	"Female"	"F"	26	4283300	0.6
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"15-24 years"	"15-24"	"Male"	"M"	102	4454790	2.3
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"25-34 years"	"25-34"	"Female"	"F"	82	4099334	2.0
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"25-34 years"	"25-34"	"Male"	"M"	196	4127866	4.7
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"35-44 years"	"35-44"	"Female"	"F"	116	4155527	2.8
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"35-44 years"	"35-44"	"Male"	"M"	152	4104348	3.7
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"45-54 years"	"45-54"	"Female"	"F"	89	4245699	2.1
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"45-54 years"	"45-54"	"Male"	"M"	100	4107163	2.4
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"55-64 years"	"55-64"	"Female"	"F"	63	3823838	1.6
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"55-64 years"	"55-64"	"Male"	"M"	38	3547824	1.1
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"65-74 years"	"65-74"	"Female"	"F"	12	2838740	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Arkansas"	"05"	"65-74 years"	"65-74"	"Male"	"M"	13	2468590	Unreliable
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"5-14 years"	"5-14"	"Female"	"F"	10	55241432	Unreliable
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"15-24 years"	"15-24"	"Female"	"F"	308	56455980	0.5
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"15-24 years"	"15-24"	"Male"	"M"	1208	60547200	2.0
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"25-34 years"	"25-34"	"Female"	"F"	522	58825251	0.9
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"25-34 years"	"25-34"	"Male"	"M"	2088	62000695	3.4
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"35-44 years"	"35-44"	"Female"	"F"	562	57949675	1.0
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"35-44 years"	"35-44"	"Male"	"M"	1483	58911014	2.5
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"45-54 years"	"45-54"	"Female"	"F"	697	55111619	1.3
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"45-54 years"	"45-54"	"Male"	"M"	1181	54292047	2.2
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"55-64 years"	"55-64"	"Female"	"F"	518	43927348	1.2
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"55-64 years"	"55-64"	"Male"	"M"	804	41144534	2.0
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"65-74 years"	"65-74"	"Female"	"F"	162	28998219	0.6
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"65-74 years"	"65-74"	"Male"	"M"	232	24942034	0.9
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"75-84 years"	"75-84"	"Female"	"F"	40	18123678	0.2
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"75-84 years"	"75-84"	"Male"	"M"	30	13396771	0.2
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"85+ years"	"85+"	"Female"	"F"	17	8441504	Unreliable
	"Other synthetic narcotics"	"T40.4"	"California"	"06"	"85+ years"	"85+"	"Male"	"M"	11	4561249	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"15-24 years"	"15-24"	"Female"	"F"	63	7285429	0.9
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"15-24 years"	"15-24"	"Male"	"M"	196	7931250	2.5
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"25-34 years"	"25-34"	"Female"	"F"	153	7942683	1.9
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"25-34 years"	"25-34"	"Male"	"M"	341	8598327	4.0
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"35-44 years"	"35-44"	"Female"	"F"	202	7862258	2.6
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"35-44 years"	"35-44"	"Male"	"M"	284	8200492	3.5
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"45-54 years"	"45-54"	"Female"	"F"	192	7695102	2.5
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"45-54 years"	"45-54"	"Male"	"M"	167	7716717	2.2
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"55-64 years"	"55-64"	"Female"	"F"	108	6259529	1.7
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"55-64 years"	"55-64"	"Male"	"M"	122	6035268	2.0
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"65-74 years"	"65-74"	"Female"	"F"	30	3919143	0.8
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"65-74 years"	"65-74"	"Male"	"M"	26	3555344	0.7
	"Other synthetic narcotics"	"T40.4"	"Colorado"	"08"	"75-84 years"	"75-84"	"Female"	"F"	14	2210754	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"15-24 years"	"15-24"	"Female"	"F"	105	4976537	2.1
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"15-24 years"	"15-24"	"Male"	"M"	252	5256139	4.8
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"25-34 years"	"25-34"	"Female"	"F"	259	4742058	5.5
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"25-34 years"	"25-34"	"Male"	"M"	908	4757554	19.1
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"35-44 years"	"35-44"	"Female"	"F"	243	5583426	4.4
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"35-44 years"	"35-44"	"Male"	"M"	943	5347217	17.6
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"45-54 years"	"45-54"	"Female"	"F"	267	5956377	4.5
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"45-54 years"	"45-54"	"Male"	"M"	777	5654086	13.7
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"55-64 years"	"55-64"	"Female"	"F"	174	4882489	3.6
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"55-64 years"	"55-64"	"Male"	"M"	524	4537943	11.5
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"65-74 years"	"65-74"	"Female"	"F"	26	3226507	0.8
	"Other synthetic narcotics"	"T40.4"	"Connecticut"	"09"	"65-74 years"	"65-74"	"Male"	"M"	87	2746315	3.2
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"15-24 years"	"15-24"	"Female"	"F"	32	1310157	2.4
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"15-24 years"	"15-24"	"Male"	"M"	58	1329943	4.4
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"25-34 years"	"25-34"	"Female"	"F"	124	1282553	9.7
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"25-34 years"	"25-34"	"Male"	"M"	313	1260794	24.8
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"35-44 years"	"35-44"	"Female"	"F"	118	1333852	8.8
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"35-44 years"	"35-44"	"Male"	"M"	275	1272811	21.6
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"45-54 years"	"45-54"	"Female"	"F"	91	1396950	6.5
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"45-54 years"	"45-54"	"Male"	"M"	216	1298191	16.6
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"55-64 years"	"55-64"	"Female"	"F"	68	1253153	5.4
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"55-64 years"	"55-64"	"Male"	"M"	134	1113841	12.0
	"Other synthetic narcotics"	"T40.4"	"Delaware"	"10"	"65-74 years"	"65-74"	"Male"	"M"	22	794501	2.8
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"15-24 years"	"15-24"	"Male"	"M"	18	954039	Unreliable
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"25-34 years"	"25-34"	"Female"	"F"	26	1487296	1.7
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"25-34 years"	"25-34"	"Male"	"M"	82	1335097	6.1
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"35-44 years"	"35-44"	"Female"	"F"	26	990786	2.6
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"35-44 years"	"35-44"	"Male"	"M"	107	992357	10.8
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"45-54 years"	"45-54"	"Female"	"F"	94	848693	11.1
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"45-54 years"	"45-54"	"Male"	"M"	173	815083	21.2
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"55-64 years"	"55-64"	"Female"	"F"	98	737081	13.3
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"55-64 years"	"55-64"	"Male"	"M"	300	636952	47.1
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"65-74 years"	"65-74"	"Female"	"F"	20	491370	4.1
	"Other synthetic narcotics"	"T40.4"	"District of Columbia"	"11"	"65-74 years"	"65-74"	"Male"	"M"	105	377396	27.8
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"1-4 years"	"1-4"	"Male"	"M"	10	9594073	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"15-24 years"	"15-24"	"Female"	"F"	314	25193882	1.2
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"15-24 years"	"15-24"	"Male"	"M"	809	26514978	3.1
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"25-34 years"	"25-34"	"Female"	"F"	1307	25852008	5.1
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"25-34 years"	"25-34"	"Male"	"M"	3433	26360042	13.0
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"35-44 years"	"35-44"	"Female"	"F"	1297	27713120	4.7
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"35-44 years"	"35-44"	"Male"	"M"	3399	27366172	12.4
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"45-54 years"	"45-54"	"Female"	"F"	1055	28861092	3.7
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"45-54 years"	"45-54"	"Male"	"M"	2316	27571976	8.4
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"55-64 years"	"55-64"	"Female"	"F"	620	26472766	2.3
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"55-64 years"	"55-64"	"Male"	"M"	1382	23691994	5.8
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"65-74 years"	"65-74"	"Female"	"F"	119	21654656	0.5
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"65-74 years"	"65-74"	"Male"	"M"	247	18763474	1.3
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"75-84 years"	"75-84"	"Female"	"F"	40	14271711	0.3
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"75-84 years"	"75-84"	"Male"	"M"	28	11322481	0.2
	"Other synthetic narcotics"	"T40.4"	"Florida"	"12"	"85+ years"	"85+"	"Female"	"F"	17	6159492	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"15-24 years"	"15-24"	"Female"	"F"	91	14583886	0.6
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"15-24 years"	"15-24"	"Male"	"M"	284	15295942	1.9
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"25-34 years"	"25-34"	"Female"	"F"	267	15047701	1.8
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"25-34 years"	"25-34"	"Male"	"M"	755	14872062	5.1
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"35-44 years"	"35-44"	"Female"	"F"	335	15515134	2.2
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"35-44 years"	"35-44"	"Male"	"M"	619	14902259	4.2
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"45-54 years"	"45-54"	"Female"	"F"	323	14791545	2.2
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"45-54 years"	"45-54"	"Male"	"M"	406	14006013	2.9
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"55-64 years"	"55-64"	"Female"	"F"	181	11759674	1.5
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"55-64 years"	"55-64"	"Male"	"M"	238	10669929	2.2
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"65-74 years"	"65-74"	"Female"	"F"	36	7672467	0.5
	"Other synthetic narcotics"	"T40.4"	"Georgia"	"13"	"65-74 years"	"65-74"	"Male"	"M"	51	6421627	0.8
	"Other synthetic narcotics"	"T40.4"	"Hawaii"	"15"	"25-34 years"	"25-34"	"Male"	"M"	19	2153514	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Hawaii"	"15"	"35-44 years"	"35-44"	"Male"	"M"	32	2014211	1.6
	"Other synthetic narcotics"	"T40.4"	"Hawaii"	"15"	"45-54 years"	"45-54"	"Female"	"F"	17	1995281	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Hawaii"	"15"	"45-54 years"	"45-54"	"Male"	"M"	27	1995754	1.4
	"Other synthetic narcotics"	"T40.4"	"Hawaii"	"15"	"55-64 years"	"55-64"	"Female"	"F"	12	1765020	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Hawaii"	"15"	"55-64 years"	"55-64"	"Male"	"M"	21	1714751	1.2
	"Other synthetic narcotics"	"T40.4"	"Idaho"	"16"	"15-24 years"	"15-24"	"Male"	"M"	26	2533534	1.0
	"Other synthetic narcotics"	"T40.4"	"Idaho"	"16"	"25-34 years"	"25-34"	"Female"	"F"	20	2177599	0.9
	"Other synthetic narcotics"	"T40.4"	"Idaho"	"16"	"25-34 years"	"25-34"	"Male"	"M"	46	2273281	2.0
	"Other synthetic narcotics"	"T40.4"	"Idaho"	"16"	"35-44 years"	"35-44"	"Female"	"F"	32	2166572	1.5
	"Other synthetic narcotics"	"T40.4"	"Idaho"	"16"	"35-44 years"	"35-44"	"Male"	"M"	48	2215103	2.2
	"Other synthetic narcotics"	"T40.4"	"Idaho"	"16"	"45-54 years"	"45-54"	"Female"	"F"	39	2161966	1.8
	"Other synthetic narcotics"	"T40.4"	"Idaho"	"16"	"45-54 years"	"45-54"	"Male"	"M"	30	2158640	1.4
	"Other synthetic narcotics"	"T40.4"	"Idaho"	"16"	"55-64 years"	"55-64"	"Female"	"F"	28	1893826	1.5
	"Other synthetic narcotics"	"T40.4"	"Idaho"	"16"	"55-64 years"	"55-64"	"Male"	"M"	18	1851517	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"15-24 years"	"15-24"	"Female"	"F"	224	18886805	1.2
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"15-24 years"	"15-24"	"Male"	"M"	529	19813683	2.7
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"25-34 years"	"25-34"	"Female"	"F"	584	19339837	3.0
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"25-34 years"	"25-34"	"Male"	"M"	1690	19637515	8.6
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"35-44 years"	"35-44"	"Female"	"F"	690	19602154	3.5
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"35-44 years"	"35-44"	"Male"	"M"	1672	19457319	8.6
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"45-54 years"	"45-54"	"Female"	"F"	690	19502795	3.5
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"45-54 years"	"45-54"	"Male"	"M"	1668	18900019	8.8
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"55-64 years"	"55-64"	"Female"	"F"	426	16070397	2.7
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"55-64 years"	"55-64"	"Male"	"M"	1099	14969076	7.3
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"65-74 years"	"65-74"	"Female"	"F"	70	10794876	0.6
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"65-74 years"	"65-74"	"Male"	"M"	227	9131146	2.5
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"75-84 years"	"75-84"	"Female"	"F"	10	7107127	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Illinois"	"17"	"75-84 years"	"75-84"	"Male"	"M"	16	4884255	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"15-24 years"	"15-24"	"Female"	"F"	149	9908609	1.5
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"15-24 years"	"15-24"	"Male"	"M"	354	10333439	3.4
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"25-34 years"	"25-34"	"Female"	"F"	455	9159321	5.0
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"25-34 years"	"25-34"	"Male"	"M"	1123	9279594	12.1
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"35-44 years"	"35-44"	"Female"	"F"	414	9572576	4.3
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"35-44 years"	"35-44"	"Male"	"M"	968	9558426	10.1
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"45-54 years"	"45-54"	"Female"	"F"	310	9792495	3.2
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"45-54 years"	"45-54"	"Male"	"M"	577	9630600	6.0
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"55-64 years"	"55-64"	"Female"	"F"	182	8301215	2.2
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"55-64 years"	"55-64"	"Male"	"M"	285	7845872	3.6
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"65-74 years"	"65-74"	"Female"	"F"	24	5674281	0.4
	"Other synthetic narcotics"	"T40.4"	"Indiana"	"18"	"65-74 years"	"65-74"	"Male"	"M"	61	4884439	1.2
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"15-24 years"	"15-24"	"Female"	"F"	28	4688836	0.6
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"15-24 years"	"15-24"	"Male"	"M"	78	4943315	1.6
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"25-34 years"	"25-34"	"Female"	"F"	57	4043758	1.4
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"25-34 years"	"25-34"	"Male"	"M"	167	4225330	4.0
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"35-44 years"	"35-44"	"Female"	"F"	77	4253055	1.8
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"35-44 years"	"35-44"	"Male"	"M"	142	4334666	3.3
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"45-54 years"	"45-54"	"Female"	"F"	83	4496122	1.8
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"45-54 years"	"45-54"	"Male"	"M"	106	4524909	2.3
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"55-64 years"	"55-64"	"Female"	"F"	58	3929689	1.5
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"55-64 years"	"55-64"	"Male"	"M"	48	3840196	1.2
	"Other synthetic narcotics"	"T40.4"	"Iowa"	"19"	"65-74 years"	"65-74"	"Female"	"F"	13	2806053	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Kansas"	"20"	"15-24 years"	"15-24"	"Female"	"F"	20	4385010	0.5
	"Other synthetic narcotics"	"T40.4"	"Kansas"	"20"	"15-24 years"	"15-24"	"Male"	"M"	70	4717385	1.5
	"Other synthetic narcotics"	"T40.4"	"Kansas"	"20"	"25-34 years"	"25-34"	"Female"	"F"	54	3937738	1.4
	"Other synthetic narcotics"	"T40.4"	"Kansas"	"20"	"25-34 years"	"25-34"	"Male"	"M"	136	4122456	3.3
	"Other synthetic narcotics"	"T40.4"	"Kansas"	"20"	"35-44 years"	"35-44"	"Female"	"F"	78	4023475	1.9
	"Other synthetic narcotics"	"T40.4"	"Kansas"	"20"	"35-44 years"	"35-44"	"Male"	"M"	88	4076137	2.2
	"Other synthetic narcotics"	"T40.4"	"Kansas"	"20"	"45-54 years"	"45-54"	"Female"	"F"	86	4129911	2.1
	"Other synthetic narcotics"	"T40.4"	"Kansas"	"20"	"45-54 years"	"45-54"	"Male"	"M"	85	4103319	2.1
	"Other synthetic narcotics"	"T40.4"	"Kansas"	"20"	"55-64 years"	"55-64"	"Female"	"F"	45	3502609	1.3
	"Other synthetic narcotics"	"T40.4"	"Kansas"	"20"	"55-64 years"	"55-64"	"Male"	"M"	45	3371726	1.3
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"15-24 years"	"15-24"	"Female"	"F"	115	6295871	1.8
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"15-24 years"	"15-24"	"Male"	"M"	272	6615810	4.1
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"25-34 years"	"25-34"	"Female"	"F"	497	6179547	8.0
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"25-34 years"	"25-34"	"Male"	"M"	1073	6282556	17.1
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"35-44 years"	"35-44"	"Female"	"F"	514	6488381	7.9
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"35-44 years"	"35-44"	"Male"	"M"	1147	6449587	17.8
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"45-54 years"	"45-54"	"Female"	"F"	424	6713660	6.3
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"45-54 years"	"45-54"	"Male"	"M"	725	6519022	11.1
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"55-64 years"	"55-64"	"Female"	"F"	185	5806367	3.2
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"55-64 years"	"55-64"	"Male"	"M"	383	5421192	7.1
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"65-74 years"	"65-74"	"Female"	"F"	30	4033933	0.7
