"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Heroin"	"T40.1"	"1999"	"1999"	"Ohio"	"39"	"Male"	"M"	48	5500437	0.9
	"Heroin"	"T40.1"	"1999"	"1999"	"Oregon"	"41"	"Female"	"F"	19	1712226	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Oregon"	"41"	"Male"	"M"	116	1681715	6.9
	"Heroin"	"T40.1"	"1999"	"1999"	"Pennsylvania"	"42"	"Female"	"F"	45	6347064	0.7
	"Heroin"	"T40.1"	"1999"	"1999"	"Pennsylvania"	"42"	"Male"	"M"	137	5916741	2.3
	"Heroin"	"T40.1"	"1999"	"1999"	"Tennessee"	"47"	"Male"	"M"	10	2741240	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Texas"	"48"	"Female"	"F"	16	10360202	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Texas"	"48"	"Male"	"M"	94	10198018	0.9
	"Heroin"	"T40.1"	"1999"	"1999"	"Utah"	"49"	"Male"	"M"	49	1103315	4.4
	"Heroin"	"T40.1"	"1999"	"1999"	"Virginia"	"51"	"Female"	"F"	11	3569683	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Virginia"	"51"	"Male"	"M"	55	3430491	1.6
	"Heroin"	"T40.1"	"1999"	"1999"	"Washington"	"53"	"Female"	"F"	13	2934901	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Washington"	"53"	"Male"	"M"	48	2907663	1.7
	"Heroin"	"T40.1"	"1999"	"1999"	"Wisconsin"	"55"	"Male"	"M"	14	2631141	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Arizona"	"04"	"Male"	"M"	14	2561057	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"California"	"06"	"Female"	"F"	49	16996756	0.3
	"Heroin"	"T40.1"	"2000"	"2000"	"California"	"06"	"Male"	"M"	290	16874892	1.7
	"Heroin"	"T40.1"	"2000"	"2000"	"Colorado"	"08"	"Male"	"M"	32	2165983	1.5
	"Heroin"	"T40.1"	"2000"	"2000"	"Connecticut"	"09"	"Female"	"F"	14	1756246	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Connecticut"	"09"	"Male"	"M"	96	1649319	5.8
	"Heroin"	"T40.1"	"2000"	"2000"	"Florida"	"12"	"Female"	"F"	26	8184663	0.3
	"Heroin"	"T40.1"	"2000"	"2000"	"Florida"	"12"	"Male"	"M"	145	7797715	1.9
	"Heroin"	"T40.1"	"2000"	"2000"	"Illinois"	"17"	"Male"	"M"	33	6080336	0.5
	"Heroin"	"T40.1"	"2000"	"2000"	"Michigan"	"26"	"Female"	"F"	13	5065349	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Michigan"	"26"	"Male"	"M"	85	4873095	1.7
	"Heroin"	"T40.1"	"2000"	"2000"	"Missouri"	"29"	"Male"	"M"	40	2720177	1.5
	"Heroin"	"T40.1"	"2000"	"2000"	"Nevada"	"32"	"Female"	"F"	10	980206	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Nevada"	"32"	"Male"	"M"	31	1018051	3.0
	"Heroin"	"T40.1"	"2000"	"2000"	"New Jersey"	"34"	"Female"	"F"	33	4331537	0.8
	"Heroin"	"T40.1"	"2000"	"2000"	"New Jersey"	"34"	"Male"	"M"	179	4082813	4.4
	"Heroin"	"T40.1"	"2000"	"2000"	"New Mexico"	"35"	"Male"	"M"	35	894317	3.9
	"Heroin"	"T40.1"	"2000"	"2000"	"New York"	"36"	"Male"	"M"	21	9146748	0.2
	"Heroin"	"T40.1"	"2000"	"2000"	"North Carolina"	"37"	"Male"	"M"	36	3942695	0.9
	"Heroin"	"T40.1"	"2000"	"2000"	"Ohio"	"39"	"Female"	"F"	13	5840878	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Ohio"	"39"	"Male"	"M"	64	5512262	1.2
	"Heroin"	"T40.1"	"2000"	"2000"	"Oklahoma"	"40"	"Male"	"M"	10	1695895	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Oregon"	"41"	"Female"	"F"	17	1724849	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Oregon"	"41"	"Male"	"M"	76	1696550	4.5
	"Heroin"	"T40.1"	"2000"	"2000"	"Pennsylvania"	"42"	"Female"	"F"	19	6351391	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Pennsylvania"	"42"	"Male"	"M"	128	5929663	2.2
	"Heroin"	"T40.1"	"2000"	"2000"	"Texas"	"48"	"Female"	"F"	23	10498910	0.2
	"Heroin"	"T40.1"	"2000"	"2000"	"Texas"	"48"	"Male"	"M"	104	10352910	1.0
	"Heroin"	"T40.1"	"2000"	"2000"	"Utah"	"49"	"Male"	"M"	42	1119031	3.8
	"Heroin"	"T40.1"	"2000"	"2000"	"Virginia"	"51"	"Male"	"M"	56	3471895	1.6
	"Heroin"	"T40.1"	"2000"	"2000"	"Washington"	"53"	"Female"	"F"	14	2959821	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Washington"	"53"	"Male"	"M"	47	2934300	1.6
	"Heroin"	"T40.1"	"2000"	"2000"	"Wisconsin"	"55"	"Male"	"M"	23	2649041	0.9
	"Heroin"	"T40.1"	"2001"	"2001"	"Arizona"	"04"	"Male"	"M"	21	2631801	0.8
	"Heroin"	"T40.1"	"2001"	"2001"	"California"	"06"	"Female"	"F"	34	17294223	0.2
	"Heroin"	"T40.1"	"2001"	"2001"	"California"	"06"	"Male"	"M"	190	17185235	1.1
	"Heroin"	"T40.1"	"2001"	"2001"	"Colorado"	"08"	"Male"	"M"	17	2229982	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Connecticut"	"09"	"Female"	"F"	18	1768959	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Connecticut"	"09"	"Male"	"M"	77	1663876	4.6
	"Heroin"	"T40.1"	"2001"	"2001"	"Florida"	"12"	"Female"	"F"	42	8372776	0.5
	"Heroin"	"T40.1"	"2001"	"2001"	"Florida"	"12"	"Male"	"M"	163	7984190	2.0
	"Heroin"	"T40.1"	"2001"	"2001"	"Illinois"	"17"	"Male"	"M"	34	6118002	0.6
	"Heroin"	"T40.1"	"2001"	"2001"	"Massachusetts"	"25"	"Male"	"M"	14	3085067	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Michigan"	"26"	"Female"	"F"	21	5089289	0.4
	"Heroin"	"T40.1"	"2001"	"2001"	"Michigan"	"26"	"Male"	"M"	67	4901831	1.4
	"Heroin"	"T40.1"	"2001"	"2001"	"Missouri"	"29"	"Male"	"M"	20	2745666	0.7
	"Heroin"	"T40.1"	"2001"	"2001"	"Nevada"	"32"	"Male"	"M"	21	1067549	2.0
	"Heroin"	"T40.1"	"2001"	"2001"	"New Jersey"	"34"	"Female"	"F"	45	4369932	1.0
	"Heroin"	"T40.1"	"2001"	"2001"	"New Jersey"	"34"	"Male"	"M"	156	4122739	3.8
	"Heroin"	"T40.1"	"2001"	"2001"	"New Mexico"	"35"	"Male"	"M"	16	901303	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"New York"	"36"	"Male"	"M"	54	9204125	0.6
	"Heroin"	"T40.1"	"2001"	"2001"	"North Carolina"	"37"	"Male"	"M"	41	4022805	1.0
	"Heroin"	"T40.1"	"2001"	"2001"	"Ohio"	"39"	"Female"	"F"	14	5853691	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Ohio"	"39"	"Male"	"M"	73	5533713	1.3
	"Heroin"	"T40.1"	"2001"	"2001"	"Oregon"	"41"	"Female"	"F"	14	1747889	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Oregon"	"41"	"Male"	"M"	64	1720048	3.7
	"Heroin"	"T40.1"	"2001"	"2001"	"Pennsylvania"	"42"	"Female"	"F"	26	6354395	0.4
	"Heroin"	"T40.1"	"2001"	"2001"	"Pennsylvania"	"42"	"Male"	"M"	96	5944575	1.6
	"Heroin"	"T40.1"	"2001"	"2001"	"Texas"	"48"	"Female"	"F"	19	10731190	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Texas"	"48"	"Male"	"M"	164	10588432	1.5
	"Heroin"	"T40.1"	"2001"	"2001"	"Utah"	"49"	"Male"	"M"	31	1144533	2.7
	"Heroin"	"T40.1"	"2001"	"2001"	"Virginia"	"51"	"Female"	"F"	13	3665386	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Virginia"	"51"	"Male"	"M"	82	3532976	2.3
	"Heroin"	"T40.1"	"2001"	"2001"	"Washington"	"53"	"Male"	"M"	42	2983642	1.4
	"Heroin"	"T40.1"	"2001"	"2001"	"Wisconsin"	"55"	"Male"	"M"	21	2673188	0.8
	"Heroin"	"T40.1"	"2002"	"2002"	"Arizona"	"04"	"Male"	"M"	21	2692038	0.8
	"Heroin"	"T40.1"	"2002"	"2002"	"California"	"06"	"Female"	"F"	57	17498462	0.3
	"Heroin"	"T40.1"	"2002"	"2002"	"California"	"06"	"Male"	"M"	313	17373381	1.8
	"Heroin"	"T40.1"	"2002"	"2002"	"Colorado"	"08"	"Male"	"M"	22	2261741	1.0
	"Heroin"	"T40.1"	"2002"	"2002"	"Connecticut"	"09"	"Female"	"F"	16	1780500	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Connecticut"	"09"	"Male"	"M"	74	1678249	4.4
	"Heroin"	"T40.1"	"2002"	"2002"	"Delaware"	"10"	"Male"	"M"	12	391517	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Florida"	"12"	"Female"	"F"	40	8541734	0.5
	"Heroin"	"T40.1"	"2002"	"2002"	"Florida"	"12"	"Male"	"M"	169	8147636	2.1
	"Heroin"	"T40.1"	"2002"	"2002"	"Illinois"	"17"	"Male"	"M"	45	6137659	0.7
	"Heroin"	"T40.1"	"2002"	"2002"	"Maryland"	"24"	"Male"	"M"	23	2625192	0.9
	"Heroin"	"T40.1"	"2002"	"2002"	"Massachusetts"	"25"	"Male"	"M"	16	3097770	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Michigan"	"26"	"Female"	"F"	16	5100171	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Michigan"	"26"	"Male"	"M"	59	4915539	1.2
	"Heroin"	"T40.1"	"2002"	"2002"	"Missouri"	"29"	"Female"	"F"	12	2910476	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Missouri"	"29"	"Male"	"M"	43	2764349	1.6
	"Heroin"	"T40.1"	"2002"	"2002"	"Nevada"	"32"	"Male"	"M"	36	1104027	3.3
	"Heroin"	"T40.1"	"2002"	"2002"	"New Jersey"	"34"	"Female"	"F"	43	4398801	1.0
	"Heroin"	"T40.1"	"2002"	"2002"	"New Jersey"	"34"	"Male"	"M"	199	4153842	4.8
	"Heroin"	"T40.1"	"2002"	"2002"	"New Mexico"	"35"	"Male"	"M"	22	913453	2.4
	"Heroin"	"T40.1"	"2002"	"2002"	"New York"	"36"	"Female"	"F"	13	9902927	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"New York"	"36"	"Male"	"M"	37	9234873	0.4
	"Heroin"	"T40.1"	"2002"	"2002"	"North Carolina"	"37"	"Male"	"M"	39	4076022	1.0
	"Heroin"	"T40.1"	"2002"	"2002"	"Ohio"	"39"	"Female"	"F"	25	5859385	0.4
	"Heroin"	"T40.1"	"2002"	"2002"	"Ohio"	"39"	"Male"	"M"	94	5548504	1.7
	"Heroin"	"T40.1"	"2002"	"2002"	"Oregon"	"41"	"Female"	"F"	23	1771126	1.3
	"Heroin"	"T40.1"	"2002"	"2002"	"Oregon"	"41"	"Male"	"M"	67	1742298	3.8
	"Heroin"	"T40.1"	"2002"	"2002"	"Pennsylvania"	"42"	"Female"	"F"	30	6363832	0.5
	"Heroin"	"T40.1"	"2002"	"2002"	"Pennsylvania"	"42"	"Male"	"M"	110	5967199	1.8
	"Heroin"	"T40.1"	"2002"	"2002"	"Texas"	"48"	"Female"	"F"	27	10914653	0.2
	"Heroin"	"T40.1"	"2002"	"2002"	"Texas"	"48"	"Male"	"M"	151	10775672	1.4
	"Heroin"	"T40.1"	"2002"	"2002"	"Utah"	"49"	"Male"	"M"	22	1165962	1.9
	"Heroin"	"T40.1"	"2002"	"2002"	"Virginia"	"51"	"Female"	"F"	14	3713695	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Virginia"	"51"	"Male"	"M"	77	3573178	2.2
	"Heroin"	"T40.1"	"2002"	"2002"	"Washington"	"53"	"Male"	"M"	64	3015607	2.1
	"Heroin"	"T40.1"	"2002"	"2002"	"Wisconsin"	"55"	"Male"	"M"	22	2693465	0.8
	"Heroin"	"T40.1"	"2003"	"2003"	"Arizona"	"04"	"Female"	"F"	13	2764077	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Arizona"	"04"	"Male"	"M"	52	2746287	1.9
	"Heroin"	"T40.1"	"2003"	"2003"	"California"	"06"	"Female"	"F"	50	17709509	0.3
	"Heroin"	"T40.1"	"2003"	"2003"	"California"	"06"	"Male"	"M"	308	17543650	1.8
	"Heroin"	"T40.1"	"2003"	"2003"	"Colorado"	"08"	"Male"	"M"	22	2275518	1.0
	"Heroin"	"T40.1"	"2003"	"2003"	"Connecticut"	"09"	"Female"	"F"	20	1793468	1.1
	"Heroin"	"T40.1"	"2003"	"2003"	"Connecticut"	"09"	"Male"	"M"	89	1690868	5.3
	"Heroin"	"T40.1"	"2003"	"2003"	"Florida"	"12"	"Female"	"F"	35	8697573	0.4
	"Heroin"	"T40.1"	"2003"	"2003"	"Florida"	"12"	"Male"	"M"	175	8306512	2.1
	"Heroin"	"T40.1"	"2003"	"2003"	"Illinois"	"17"	"Male"	"M"	17	6153147	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Maryland"	"24"	"Male"	"M"	24	2652422	0.9
	"Heroin"	"T40.1"	"2003"	"2003"	"Massachusetts"	"25"	"Male"	"M"	14	3101748	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Michigan"	"26"	"Female"	"F"	15	5110521	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Michigan"	"26"	"Male"	"M"	64	4930631	1.3
	"Heroin"	"T40.1"	"2003"	"2003"	"Missouri"	"29"	"Male"	"M"	37	2782847	1.3
	"Heroin"	"T40.1"	"2003"	"2003"	"Nevada"	"32"	"Female"	"F"	12	1108135	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Nevada"	"32"	"Male"	"M"	24	1140715	2.1
	"Heroin"	"T40.1"	"2003"	"2003"	"New Jersey"	"34"	"Female"	"F"	37	4421964	0.8
	"Heroin"	"T40.1"	"2003"	"2003"	"New Jersey"	"34"	"Male"	"M"	181	4179438	4.3
	"Heroin"	"T40.1"	"2003"	"2003"	"New Mexico"	"35"	"Male"	"M"	21	925271	2.3
	"Heroin"	"T40.1"	"2003"	"2003"	"New York"	"36"	"Male"	"M"	41	9258129	0.4
	"Heroin"	"T40.1"	"2003"	"2003"	"North Carolina"	"37"	"Female"	"F"	10	4313901	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"North Carolina"	"37"	"Male"	"M"	42	4108600	1.0
	"Heroin"	"T40.1"	"2003"	"2003"	"Ohio"	"39"	"Female"	"F"	19	5868535	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Ohio"	"39"	"Male"	"M"	74	5566253	1.3
	"Heroin"	"T40.1"	"2003"	"2003"	"Oregon"	"41"	"Female"	"F"	14	1788805	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Oregon"	"41"	"Male"	"M"	68	1758571	3.9
	"Heroin"	"T40.1"	"2003"	"2003"	"Pennsylvania"	"42"	"Female"	"F"	39	6377894	0.6
	"Heroin"	"T40.1"	"2003"	"2003"	"Pennsylvania"	"42"	"Male"	"M"	127	5996764	2.1
	"Heroin"	"T40.1"	"2003"	"2003"	"Texas"	"48"	"Female"	"F"	31	11095953	0.3
	"Heroin"	"T40.1"	"2003"	"2003"	"Texas"	"48"	"Male"	"M"	157	10934978	1.4
	"Heroin"	"T40.1"	"2003"	"2003"	"Utah"	"49"	"Male"	"M"	28	1184270	2.4
	"Heroin"	"T40.1"	"2003"	"2003"	"Virginia"	"51"	"Female"	"F"	22	3757780	0.6
	"Heroin"	"T40.1"	"2003"	"2003"	"Virginia"	"51"	"Male"	"M"	72	3609197	2.0
	"Heroin"	"T40.1"	"2003"	"2003"	"Washington"	"53"	"Male"	"M"	57	3038376	1.9
	"Heroin"	"T40.1"	"2003"	"2003"	"Wisconsin"	"55"	"Male"	"M"	23	2712302	0.8
	"Heroin"	"T40.1"	"2004"	"2004"	"Arizona"	"04"	"Male"	"M"	33	2816798	1.2
	"Heroin"	"T40.1"	"2004"	"2004"	"California"	"06"	"Female"	"F"	43	17871415	0.2
	"Heroin"	"T40.1"	"2004"	"2004"	"California"	"06"	"Male"	"M"	254	17703161	1.4
	"Heroin"	"T40.1"	"2004"	"2004"	"Colorado"	"08"	"Male"	"M"	20	2300502	0.9
	"Heroin"	"T40.1"	"2004"	"2004"	"Connecticut"	"09"	"Female"	"F"	17	1798078	Unreliable
	"Heroin"	"T40.1"	"2004"	"2004"	"Connecticut"	"09"	"Male"	"M"	76	1698016	4.5
	"Heroin"	"T40.1"	"2004"	"2004"	"Florida"	"12"	"Female"	"F"	27	8902447	0.3
	"Heroin"	"T40.1"	"2004"	"2004"	"Florida"	"12"	"Male"	"M"	118	8512871	1.4
	"Heroin"	"T40.1"	"2004"	"2004"	"Illinois"	"17"	"Male"	"M"	33	6175564	0.5
	"Heroin"	"T40.1"	"2004"	"2004"	"Maryland"	"24"	"Female"	"F"	11	2870043	Unreliable
	"Heroin"	"T40.1"	"2004"	"2004"	"Maryland"	"24"	"Male"	"M"	64	2676892	2.4
	"Heroin"	"T40.1"	"2004"	"2004"	"Massachusetts"	"25"	"Male"	"M"	10	3097647	Unreliable
	"Heroin"	"T40.1"	"2004"	"2004"	"Michigan"	"26"	"Female"	"F"	24	5117929	0.5
	"Heroin"	"T40.1"	"2004"	"2004"	"Michigan"	"26"	"Male"	"M"	85	4937386	1.7
	"Heroin"	"T40.1"	"2004"	"2004"	"Missouri"	"29"	"Female"	"F"	11	2942685	Unreliable
	"Heroin"	"T40.1"	"2004"	"2004"	"Missouri"	"29"	"Male"	"M"	47	2805056	1.7
	"Heroin"	"T40.1"	"2004"	"2004"	"Nevada"	"32"	"Male"	"M"	21	1189636	1.8
	"Heroin"	"T40.1"	"2004"	"2004"	"New Jersey"	"34"	"Female"	"F"	23	4436964	0.5
	"Heroin"	"T40.1"	"2004"	"2004"	"New Jersey"	"34"	"Male"	"M"	98	4197597	2.3
	"Heroin"	"T40.1"	"2004"	"2004"	"New Mexico"	"35"	"Male"	"M"	25	939070	2.7
	"Heroin"	"T40.1"	"2004"	"2004"	"New York"	"36"	"Male"	"M"	30	9258040	0.3
	"Heroin"	"T40.1"	"2004"	"2004"	"North Carolina"	"37"	"Female"	"F"	10	4376070	Unreliable
	"Heroin"	"T40.1"	"2004"	"2004"	"North Carolina"	"37"	"Male"	"M"	41	4177082	1.0
	"Heroin"	"T40.1"	"2004"	"2004"	"Ohio"	"39"	"Female"	"F"	28	5874411	0.5
	"Heroin"	"T40.1"	"2004"	"2004"	"Ohio"	"39"	"Male"	"M"	105	5577840	1.9
	"Heroin"	"T40.1"	"2004"	"2004"	"Oregon"	"41"	"Female"	"F"	22	1800377	1.2
	"Heroin"	"T40.1"	"2004"	"2004"	"Oregon"	"41"	"Male"	"M"	69	1769086	3.9
	"Heroin"	"T40.1"	"2004"	"2004"	"Pennsylvania"	"42"	"Female"	"F"	26	6390749	0.4
	"Heroin"	"T40.1"	"2004"	"2004"	"Pennsylvania"	"42"	"Male"	"M"	105	6019973	1.7
	"Heroin"	"T40.1"	"2004"	"2004"	"Texas"	"48"	"Female"	"F"	41	11278402	0.4
	"Heroin"	"T40.1"	"2004"	"2004"	"Texas"	"48"	"Male"	"M"	161	11115621	1.4
	"Heroin"	"T40.1"	"2004"	"2004"	"Utah"	"49"	"Male"	"M"	15	1204831	Unreliable
	"Heroin"	"T40.1"	"2004"	"2004"	"Virginia"	"51"	"Male"	"M"	64	3661265	1.7
	"Heroin"	"T40.1"	"2004"	"2004"	"Washington"	"53"	"Female"	"F"	14	3107815	Unreliable
	"Heroin"	"T40.1"	"2004"	"2004"	"Washington"	"53"	"Male"	"M"	46	3070830	1.5
	"Heroin"	"T40.1"	"2004"	"2004"	"Wisconsin"	"55"	"Male"	"M"	19	2731348	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Arizona"	"04"	"Male"	"M"	29	2908266	1.0
	"Heroin"	"T40.1"	"2005"	"2005"	"California"	"06"	"Female"	"F"	44	17996230	0.2
	"Heroin"	"T40.1"	"2005"	"2005"	"California"	"06"	"Male"	"M"	214	17831713	1.2
	"Heroin"	"T40.1"	"2005"	"2005"	"Colorado"	"08"	"Male"	"M"	35	2323650	1.5
	"Heroin"	"T40.1"	"2005"	"2005"	"Connecticut"	"09"	"Female"	"F"	18	1802068	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Connecticut"	"09"	"Male"	"M"	63	1704888	3.7
	"Heroin"	"T40.1"	"2005"	"2005"	"Florida"	"12"	"Female"	"F"	22	9117950	0.2
	"Heroin"	"T40.1"	"2005"	"2005"	"Florida"	"12"	"Male"	"M"	88	8724088	1.0
	"Heroin"	"T40.1"	"2005"	"2005"	"Illinois"	"17"	"Male"	"M"	42	6186072	0.7
	"Heroin"	"T40.1"	"2005"	"2005"	"Indiana"	"18"	"Male"	"M"	14	3087135	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Maryland"	"24"	"Male"	"M"	71	2700618	2.6
	"Heroin"	"T40.1"	"2005"	"2005"	"Massachusetts"	"25"	"Male"	"M"	14	3094280	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Michigan"	"26"	"Female"	"F"	44	5114320	0.9
	"Heroin"	"T40.1"	"2005"	"2005"	"Michigan"	"26"	"Male"	"M"	132	4936817	2.7
	"Heroin"	"T40.1"	"2005"	"2005"	"Missouri"	"29"	"Male"	"M"	44	2827430	1.6
	"Heroin"	"T40.1"	"2005"	"2005"	"Nevada"	"32"	"Male"	"M"	37	1233297	3.0
	"Heroin"	"T40.1"	"2005"	"2005"	"New Jersey"	"34"	"Female"	"F"	38	4443545	0.9
	"Heroin"	"T40.1"	"2005"	"2005"	"New Jersey"	"34"	"Male"	"M"	132	4208429	3.1
	"Heroin"	"T40.1"	"2005"	"2005"	"New Mexico"	"35"	"Male"	"M"	39	953754	4.1
	"Heroin"	"T40.1"	"2005"	"2005"	"New York"	"36"	"Male"	"M"	30	9245143	0.3
	"Heroin"	"T40.1"	"2005"	"2005"	"North Carolina"	"37"	"Female"	"F"	14	4457189	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"North Carolina"	"37"	"Male"	"M"	48	4248218	1.1
	"Heroin"	"T40.1"	"2005"	"2005"	"Ohio"	"39"	"Female"	"F"	29	5876703	0.5
	"Heroin"	"T40.1"	"2005"	"2005"	"Ohio"	"39"	"Male"	"M"	107	5586617	1.9
	"Heroin"	"T40.1"	"2005"	"2005"	"Oregon"	"41"	"Female"	"F"	11	1823447	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Oregon"	"41"	"Male"	"M"	67	1789755	3.7
	"Heroin"	"T40.1"	"2005"	"2005"	"Pennsylvania"	"42"	"Female"	"F"	30	6405053	0.5
	"Heroin"	"T40.1"	"2005"	"2005"	"Pennsylvania"	"42"	"Male"	"M"	110	6044937	1.8
	"Heroin"	"T40.1"	"2005"	"2005"	"Tennessee"	"47"	"Male"	"M"	12	2922618	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Texas"	"48"	"Female"	"F"	35	11470439	0.3
	"Heroin"	"T40.1"	"2005"	"2005"	"Texas"	"48"	"Male"	"M"	170	11307684	1.5
	"Heroin"	"T40.1"	"2005"	"2005"	"Utah"	"49"	"Female"	"F"	10	1224741	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Utah"	"49"	"Male"	"M"	34	1232978	2.8
	"Heroin"	"T40.1"	"2005"	"2005"	"Virginia"	"51"	"Female"	"F"	18	3863646	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Virginia"	"51"	"Male"	"M"	46	3713459	1.2
	"Heroin"	"T40.1"	"2005"	"2005"	"Washington"	"53"	"Female"	"F"	12	3145396	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Washington"	"53"	"Male"	"M"	47	3111909	1.5
	"Heroin"	"T40.1"	"2005"	"2005"	"Wisconsin"	"55"	"Male"	"M"	27	2749105	1.0
	"Heroin"	"T40.1"	"2006"	"2006"	"Arizona"	"04"	"Male"	"M"	44	3003007	1.5
	"Heroin"	"T40.1"	"2006"	"2006"	"California"	"06"	"Female"	"F"	39	18097471	0.2
	"Heroin"	"T40.1"	"2006"	"2006"	"California"	"06"	"Male"	"M"	242	17923731	1.4
